Cancer Type,Body System,Male or Female,Year,Total Deaths
Non-Hodgkin lymphoma,Circulatory,N/A,01/01/2016,799
Pancreatic cancer,Digestive,N/A,01/01/2016,575
Esophageal cancer,Digestive,N/A,01/01/2016,2510
Testicular cancer,Reproductive,Male,01/01/2016,12
Nasopharynx cance,Respiratory,N/A,01/01/2016,425
Other pharynx cancer,Respiratory,N/A,01/01/2016,200
Colon and rectum cancer,Digestive,N/A,01/01/2016,1405
Non-melanoma skin cancer,Skin,N/A,01/01/2016,96
Mesothelioma,Other,N/A,01/01/2016,49
Liver cancer,Digestive,N/A,01/01/2015,646
Kidney cancer,Renal,N/A,01/01/2015,142
Lip and oral cavity cancer,Digestive,N/A,01/01/2015,763
"Tracheal, bronchus, and lung cancer",Respiratory,N/A,01/01/2015,1071
Larynx cancer,Respiratory,N/A,01/01/2015,286
Gallbladder and biliary tract cancer,Digestive,N/A,01/01/2015,252
Malignant skin melanoma,Skin,N/A,01/01/2015,115
Leukemia,Circulatory,N/A,01/01/2015,758
Hodgkin lymphoma,Circulatory,N/A,01/01/2015,156
Multiple myeloma,Circulatory,N/A,01/01/2015,258
Other neoplasms,Circulatory,N/A,01/01/2015,56
Breast cancer,Reproductive,Male&Female,01/01/2015,1916
Prostate cancer,Reproductive,Male,01/01/2015,1545
Thyroid cancer,Endocrine,N/A,01/01/2015,63
Stomach cancer,Digestive,N/A,01/01/2015,1822
 Bladder cancer,Renal,N/A,01/01/2015,245
Uterine cancer,Reproductive,Female,01/01/2015,133
Ovarian cancer,Reproductive,Female,01/01/2015,472
Cervical cancer,Reproductive,Female,01/01/2015,1542
Brain and central nervous system cancer,Neuronal,N/A,01/01/2015,477
Non-Hodgkin lymphoma,Circulatory,N/A,01/01/2015,775
Pancreatic cancer,Digestive,N/A,01/01/2015,544
Esophageal cancer,Digestive,N/A,01/01/2015,2432
Testicular cancer,Reproductive,Male,01/01/2015,12
Nasopharynx cance,Respiratory,N/A,01/01/2015,413
Other pharynx cancer,Respiratory,N/A,01/01/2015,193
Colon and rectum cancer,Digestive,N/A,01/01/2015,1348
Non-melanoma skin cancer,Skin,N/A,01/01/2015,92
Mesothelioma,Other,N/A,01/01/2015,48
Liver cancer,Digestive,N/A,01/01/2014,635
Kidney cancer,Renal,N/A,01/01/2014,136
Lip and oral cavity cancer,Digestive,N/A,01/01/2014,741
"Tracheal, bronchus, and lung cancer",Respiratory,N/A,01/01/2014,1035
Larynx cancer,Respiratory,N/A,01/01/2014,280
Gallbladder and biliary tract cancer,Digestive,N/A,01/01/2014,244
Malignant skin melanoma,Skin,N/A,01/01/2014,112
Leukemia,Circulatory,N/A,01/01/2014,759
Hodgkin lymphoma,Circulatory,N/A,01/01/2014,155
Multiple myeloma,Circulatory,N/A,01/01/2014,250
Other neoplasms,Circulatory,N/A,01/01/2014,53
Breast cancer,Reproductive,Male&Female,01/01/2014,1834
Prostate cancer,Reproductive,Male,01/01/2014,1493
Thyroid cancer,Endocrine,N/A,01/01/2014,61
Stomach cancer,Digestive,N/A,01/01/2014,1790
 Bladder cancer,Renal,N/A,01/01/2014,238
Uterine cancer,Reproductive,Female,01/01/2014,128
Ovarian cancer,Reproductive,Female,01/01/2014,447
Cervical cancer,Reproductive,Female,01/01/2014,1513
Brain and central nervous system cancer,Neuronal,N/A,01/01/2014,471
Non-Hodgkin lymphoma,Circulatory,N/A,01/01/2014,755
Pancreatic cancer,Digestive,N/A,01/01/2014,515
Esophageal cancer,Digestive,N/A,01/01/2014,2372
Testicular cancer,Reproductive,Male,01/01/2014,12
Nasopharynx cance,Respiratory,N/A,01/01/2014,403
Other pharynx cancer,Respiratory,N/A,01/01/2014,187
Colon and rectum cancer,Digestive,N/A,01/01/2014,1296
Non-melanoma skin cancer,Skin,N/A,01/01/2014,89
Mesothelioma,Other,N/A,01/01/2014,46
Liver cancer,Digestive,N/A,01/01/2013,624
Kidney cancer,Renal,N/A,01/01/2013,131
Lip and oral cavity cancer,Digestive,N/A,01/01/2013,722
"Tracheal, bronchus, and lung cancer",Respiratory,N/A,01/01/2013,1003
Larynx cancer,Respiratory,N/A,01/01/2013,274
Gallbladder and biliary tract cancer,Digestive,N/A,01/01/2013,237
Malignant skin melanoma,Skin,N/A,01/01/2013,109
Leukemia,Circulatory,N/A,01/01/2013,754
Hodgkin lymphoma,Circulatory,N/A,01/01/2013,152
Multiple myeloma,Circulatory,N/A,01/01/2013,243
Other neoplasms,Circulatory,N/A,01/01/2013,51
Breast cancer,Reproductive,Male&Female,01/01/2013,1749
Prostate cancer,Reproductive,Male,01/01/2013,1444
Thyroid cancer,Endocrine,N/A,01/01/2013,59
Stomach cancer,Digestive,N/A,01/01/2013,1762
 Bladder cancer,Renal,N/A,01/01/2013,232
Uterine cancer,Reproductive,Female,01/01/2013,123
Ovarian cancer,Reproductive,Female,01/01/2013,422
Cervical cancer,Reproductive,Female,01/01/2013,1477
Brain and central nervous system cancer,Neuronal,N/A,01/01/2013,462
Non-Hodgkin lymphoma,Circulatory,N/A,01/01/2013,735
Pancreatic cancer,Digestive,N/A,01/01/2013,491
Esophageal cancer,Digestive,N/A,01/01/2013,2321
Testicular cancer,Reproductive,Male,01/01/2013,11
Nasopharynx cance,Respiratory,N/A,01/01/2013,392
Other pharynx cancer,Respiratory,N/A,01/01/2013,181
Colon and rectum cancer,Digestive,N/A,01/01/2013,1250
Non-melanoma skin cancer,Skin,N/A,01/01/2013,85
Mesothelioma,Other,N/A,01/01/2013,44
Liver cancer,Digestive,N/A,01/01/2012,613
Kidney cancer,Renal,N/A,01/01/2012,127
Lip and oral cavity cancer,Digestive,N/A,01/01/2012,703
"Tracheal, bronchus, and lung cancer",Respiratory,N/A,01/01/2012,975
Larynx cancer,Respiratory,N/A,01/01/2012,270
Gallbladder and biliary tract cancer,Digestive,N/A,01/01/2012,230
Malignant skin melanoma,Skin,N/A,01/01/2012,106
Leukemia,Circulatory,N/A,01/01/2012,742
Hodgkin lymphoma,Circulatory,N/A,01/01/2012,150
Multiple myeloma,Circulatory,N/A,01/01/2012,235
Other neoplasms,Circulatory,N/A,01/01/2012,49
Breast cancer,Reproductive,Male&Female,01/01/2012,1664
Prostate cancer,Reproductive,Male,01/01/2012,1393
Thyroid cancer,Endocrine,N/A,01/01/2012,58
Stomach cancer,Digestive,N/A,01/01/2012,1737
 Bladder cancer,Renal,N/A,01/01/2012,226
Uterine cancer,Reproductive,Female,01/01/2012,118
Ovarian cancer,Reproductive,Female,01/01/2012,398
Cervical cancer,Reproductive,Female,01/01/2012,1436
Brain and central nervous system cancer,Neuronal,N/A,01/01/2012,452
Non-Hodgkin lymphoma,Circulatory,N/A,01/01/2012,715
Pancreatic cancer,Digestive,N/A,01/01/2012,468
Esophageal cancer,Digestive,N/A,01/01/2012,2266
Testicular cancer,Reproductive,Male,01/01/2012,11
Nasopharynx cance,Respiratory,N/A,01/01/2012,383
Other pharynx cancer,Respiratory,N/A,01/01/2012,176
Colon and rectum cancer,Digestive,N/A,01/01/2012,1205
Non-melanoma skin cancer,Skin,N/A,01/01/2012,82
Mesothelioma,Other,N/A,01/01/2012,43
Liver cancer,Digestive,N/A,01/01/2011,601
Kidney cancer,Renal,N/A,01/01/2011,122
Lip and oral cavity cancer,Digestive,N/A,01/01/2011,682
"Tracheal, bronchus, and lung cancer",Respiratory,N/A,01/01/2011,943
Larynx cancer,Respiratory,N/A,01/01/2011,265
Gallbladder and biliary tract cancer,Digestive,N/A,01/01/2011,223
Malignant skin melanoma,Skin,N/A,01/01/2011,102
Leukemia,Circulatory,N/A,01/01/2011,732
Hodgkin lymphoma,Circulatory,N/A,01/01/2011,147
Multiple myeloma,Circulatory,N/A,01/01/2011,227
Other neoplasms,Circulatory,N/A,01/01/2011,47
Breast cancer,Reproductive,Male&Female,01/01/2011,1584
Prostate cancer,Reproductive,Male,01/01/2011,1343
Thyroid cancer,Endocrine,N/A,01/01/2011,56
Stomach cancer,Digestive,N/A,01/01/2011,1707
 Bladder cancer,Renal,N/A,01/01/2011,221
Uterine cancer,Reproductive,Female,01/01/2011,113
Ovarian cancer,Reproductive,Female,01/01/2011,374
Cervical cancer,Reproductive,Female,01/01/2011,1400
Brain and central nervous system cancer,Neuronal,N/A,01/01/2011,441
Non-Hodgkin lymphoma,Circulatory,N/A,01/01/2011,699
Pancreatic cancer,Digestive,N/A,01/01/2011,445
Esophageal cancer,Digestive,N/A,01/01/2011,2208
Testicular cancer,Reproductive,Male,01/01/2011,11
Nasopharynx cance,Respiratory,N/A,01/01/2011,372
Other pharynx cancer,Respiratory,N/A,01/01/2011,170
Colon and rectum cancer,Digestive,N/A,01/01/2011,1161
Non-melanoma skin cancer,Skin,N/A,01/01/2011,78
Mesothelioma,Other,N/A,01/01/2011,41
Liver cancer,Digestive,N/A,01/01/2010,596
Kidney cancer,Renal,N/A,01/01/2010,116
Lip and oral cavity cancer,Digestive,N/A,01/01/2010,659
"Tracheal, bronchus, and lung cancer",Respiratory,N/A,01/01/2010,907
Larynx cancer,Respiratory,N/A,01/01/2010,258
Gallbladder and biliary tract cancer,Digestive,N/A,01/01/2010,215
Malignant skin melanoma,Skin,N/A,01/01/2010,98
Leukemia,Circulatory,N/A,01/01/2010,699
Hodgkin lymphoma,Circulatory,N/A,01/01/2010,143
Multiple myeloma,Circulatory,N/A,01/01/2010,218
Other neoplasms,Circulatory,N/A,01/01/2010,44
Breast cancer,Reproductive,Male&Female,01/01/2010,1503
Prostate cancer,Reproductive,Male,01/01/2010,1297
Thyroid cancer,Endocrine,N/A,01/01/2010,54
Stomach cancer,Digestive,N/A,01/01/2010,1671
 Bladder cancer,Renal,N/A,01/01/2010,217
Uterine cancer,Reproductive,Female,01/01/2010,108
Ovarian cancer,Reproductive,Female,01/01/2010,349
Cervical cancer,Reproductive,Female,01/01/2010,1358
Brain and central nervous system cancer,Neuronal,N/A,01/01/2010,421
Non-Hodgkin lymphoma,Circulatory,N/A,01/01/2010,680
Pancreatic cancer,Digestive,N/A,01/01/2010,423
Esophageal cancer,Digestive,N/A,01/01/2010,2139
Testicular cancer,Reproductive,Male,01/01/2010,11
Nasopharynx cance,Respiratory,N/A,01/01/2010,359
Other pharynx cancer,Respiratory,N/A,01/01/2010,165
Colon and rectum cancer,Digestive,N/A,01/01/2010,1115
Non-melanoma skin cancer,Skin,N/A,01/01/2010,74
Mesothelioma,Other,N/A,01/01/2010,39
